name,type,value
CAVEFISH,1,22
CAVEFISH,2,42
CAVEFISH,3,36
GOLDFISH,1,40
GOLDFISH,2,38
GOLDFISH,3,22
COELACANTH,1,70
COELACANTH,2,15
COELACANTH,3,15
CLAWEDFROG,1,24
CLAWEDFROG,2,34
CLAWEDFROG,3,42
SALAMANDER,1,32
SALAMANDER,2,36
SALAMANDER,3,32
CHAMELEON,1,17
CHAMELEON,2,27
CHAMELEON,3,46
PIGEON,1,50
PIGEON,2,23
PIGEON,3,27
ZEBRAFINCH,1,34
ZEBRAFINCH,2,53
ZEBRAFINCH,3,13
BOVINE,1,73
BOVINE,2,13
BOVINE,3,14
ELEPHANT,1,47
ELEPHANT,2,23
ELEPHANT,3,30
EELA,1,22
EELA,2,42
EELA,3,36
EELB,1,22
EELB,2,42
EELB,3,36
CONGERA,1,40
CONGERA,2,38
CONGERA,3,22
CONGERB,1,40
CONGERB,2,38
CONGERB,3,22
ZEBRAFISH,1,70
ZEBRAFISH,2,15
ZEBRAFISH,3,15
DOLPHIN,1,24
DOLPHIN,2,34
DOLPHIN,3,42
CHICKEN,1,32
CHICKEN,2,36
CHICKEN,3,32
NSAM,1,17
NSAM,2,27
NSAM,3,46
NARG,1,50
NARG,2,23
NARG,3,27
SMIC,1,34
SMIC,2,53
SMIC,3,13
SXAN,1,73
SXAN,2,13
SXAN,3,14
NAUR,1,47
NAUR,2,23
NAUR,3,30
SSPI,1,17
SSPI,2,27
SSPI,3,46
STIE,1,50
STIE,2,23
STIE,3,27
MVIO,1,34
MVIO,2,53
MVIO,3,13
MBER,1,73
MBER,2,13
MBER,3,14
BFNKILLIFISH,1,47
BFNKILLIFISH,2,23
BFNKILLIFISH,3,30
ONIL,1,17
ONIL,2,27
ONIL,3,46
XCAU,1,50
XCAU,2,23
XCAU,3,27
THORNYHEAD,1,34
THORNYHEAD,2,53
THORNYHEAD,3,13
LAMPFISH,1,73
LAMPFISH,2,13
LAMPFISH,3,14
SCABBARDA,1,47
SCABBARDA,2,23
SCABBARDA,3,30
SCABBARDB,1,17
SCABBARDB,2,27
SCABBARDB,3,46
VIPERFISH,1,50
VIPERFISH,2,23
VIPERFISH,3,27
BLACKDRAGON,1,34
BLACKDRAGON,2,53
BLACKDRAGON,3,13
LOOSEJAW,1,73
LOOSEJAW,3,14
