name,feature,start,end
gene1,domain1,1,10
gene1,domain2,12,22
gene1,domain3,25,38
gene1,domain4,40,50
gene1,domain5,55,68
gene1,domain6,70,90
gene2,domain1,2,12
gene2,domain2,13,25
gene2,domain3,27,38
gene2,domain4,40,50
gene2,domain5,55,68
gene2,domain6,70,90
gene3,domain1,1,14
gene3,domain2,15,24
gene3,domain3,25,39
gene3,domain4,40,53
gene3,domain5,55,69
gene3,domain6,70,86
gene4,domain1,1,10
gene4,domain2,15,30
gene4,domain4,40,50
gene4,domain5,55,68
gene4,domain6,70,90
gene5,domain1,1,10
gene5,domain2,15,22
gene5,domain3,25,38
gene5,domain4,40,50
gene5,domain5,55,68
gene5,domain6,70,90
gene6,domain1,1,10
gene6,domain2,15,22
gene6,domain3,25,38
gene6,domain4,40,50
gene6,domain5,55,68
gene6,domain6,70,90
gene7,domain1,1,10
gene7,domain2,15,22
gene7,domain3,25,38
gene7,domain4,40,50
gene7,domain5,55,68
gene7,domain6,70,90
gene8,domain1,1,10
gene8,domain2,15,22
gene8,domain3,25,38
gene8,domain4,40,50
gene8,domain5,55,68
gene8,domain6,70,90
gene9,domain1,1,10
gene9,domain2,15,22
gene9,domain3,25,38
gene9,domain4,40,50
gene9,domain5,55,68
gene9,domain6,70,90
gene10,domain1,1,10
gene10,domain2,15,22
gene10,domain3,25,38
gene10,domain4,40,50
gene10,domain5,55,68
gene10,domain6,70,90
